									
Item	Qty	Refdes	Description	Mfr	Mfr P/N	Digikey P/N	Unit Cost	Total Cost	
1	1	ANT1	Antenna, Chip, Calvus, 824-960MHZ SMD	Antenova	A10340	627-1022-1-ND	$4.78	$4.78	
2	11	C1, C2, C5, C12, C13, C15, C17, C18, C19, C23, C41	Capacitor, Ceramic, 100nF 16V 5% X7R 0603	Samsung	CL10B104JO8NNNC	1276-1061-1-ND	$0.11	$1.21	
3	3	C3, C4, C39	Capacitor, Ceramic, 4.7uF 16V 10% X7R 0603	Samsung	CL10A475KO8NNNC	1276-1784-1-ND	$0.26	$0.78	
4	1	C8	Capacitor, Ceramic, 3.9pF 100V NP0 0603	Murata	GQM1885C2A3R9BB01D	490-4841-1-ND	$0.72	$0.96	
5	10	C6, C7, C9, C24, C27, C28, C29, C33, C34, C35	Capacitor, Ceramic, 33pF 16V 5% X7R 0603	AVX	0603YC330JAT2A	478-6211-1-ND	$0.12	$1.36	
6	1	C11	Capacitor, Aluminum, 1000uF 50V 20% Radial	Nichicon	UVR1H102MHD	493-1111-ND	$0.96	$0.90	
7	2	C10, C14	Capacitor, Ceramic, 18pF 16V 5% NP0 0603	Kemet	C0603C180J4GACTU	399-11141-1-ND	$0.25	$0.50	
8	1	C40	Capacitor, Ceramic, 10nF 16V 10% X7R 0603	Samsung	CL10B103KO8NNNC	1276-1926-1-ND	$0.10	$0.10	
9	1	C26	Capacitor, Ceramic, 100uF 16V 20% X5R 1210	Kemet	EMK325ABJ107MM-T	587-3152-1-ND	$2.30	$4.60	
10	8	C21, C25, C30, C31, C32, C36, C37, C38	Capacitor, Ceramic, 10pF 50V 5% NP0 0603	Samsung	CL10C100JB8NCNC	1276-2154-1-ND	$0.10	$0.80	
11	1	J1	Connector, AVR ISP, 2x3, Male, R/A, 0.1”	Harwin	M20-8760342	952-1922-ND	$0.43	$0.43	
12	1	J2	Connector, Micro USB-B, SMD with TH Shell	Hirose	ZX62D-B-5P8	H11610CT-ND	$1.20	$1.20	
13	3	J3,J6,J7	Connector, Straight, Female, Unshrouded, 4-pin, 0.1”	Sullins	PPPC041LFBN-RC	S7037-ND	$0.60	$1.80	
14	1	J4	Connector, Straight, Male, Unshrouded, 6-pin, 0.1”	Harwin	M20-9990645	952-2269-ND	$0.26	$0.26	
15	1	J5	Connector, PH Series, Battery, 2-pin, 2MM, SMT	JST	S2B-PH-SM4-TB(LF)(SN)	455-1749-1-ND	$0.56	$0.56	
16	1	L1	Inductor, 6.8nH 430mA 0603	Murata	LQG18HN6N8J00D	490-1108-1-ND	$0.21	$0.21	
17	1	L2	Inductor, 3.3nH 500mA 0603	Murata	LQG18HN3N3S00D	490-1104-1-ND	$0.21	$0.21	
18	5	LED1, LED2, LED3, LED4, LED5	LED, Chip, Pure Green, SMD, 0603	Stanley	BG1111C-TR	404-1005-1-ND	$0.57	$2.85	
19	1	Q1	Mic, Electret, Conditioned Analog Omni -44dB	CUI	CMA-4544PF-W	102-1721-ND	$0.96	$0.96	
20	2	Q2, Q3	MOSFET, N-CH, 20V 3.2A SOT-23	ON Semi	NTR4501NT1G	NTR4501NT1GOSCT-ND	$0.59	$1.18	
21	3	R2, R3, R6	Resistor, 22 OHM 1/4W 5% 0603 	Rohm	ESR03EZPJ220	RHM22DCT-ND	$0.10	$0.30	
22	5	R1, R5, R7, R9, R10	Resistor, 470 OHM 1/4W 5% 0603 	Rohm	ESR03EZPJ471	RHM470DCT-ND	$0.10	$0.50	
23	2	R11, R12	Resistor, 4.99K 1/8W 1% 0603	Stackpole	RNCP0603FTD4K99	RNCP0603FTD4K99CT-ND	$0.05	$0.10	
24	1	R8	Resistor, 2K 1/8W 1% 0603	Stackpole	RNCP0603FTD2K00	RNCP0603FTD2K00CT-ND	$0.05	$0.05	
25	1	R14	Resistor, 0 OHM 1/8W JUMP 0603	Vishay	MCT06030Z0000ZP500	MCT0603-0.0-ZZCT-ND	$0.13	$0.13	
26	2	R4, R13	Resistor, 10K 1/8W 1% 0603	Stackpole	RNCP0603FTD10K0	RNCP0603FTD10K0CT-ND	$0.05	$0.10	
27	1	S1	Button, Tactile Switch, SPST-NO 0.05A 12V	Omron	B3U-1000P	SW1020CT-ND	$1.25	$1.25	
28	1	SP1	Speaker, Receiver, 100Hz-9.5kHz 55.5ohm	Knowles	SR6438NWS-000	423-1142-ND	$6.27	$6.27	
29	1	U1	IC, Battery Charge Controller, LiPo, 4.2V, 20T23-5	Microchip	MCP73831T-2ACI/OT	MCP73831T-2ACI/OTCT-ND	$0.67	$0.67	
30	1	U2	IC, Microcontroller, 8-bit 128KB FLASH 44TQFP	Atmel	ATMEGA1284P-AUR	ATMEGA1284P-AURCT-ND	$8.99	$8.99	
31	1	U3	GSM Module, UC15 3G	Quectel	UC15	SEE NOTE	$65.00	$65.00	Order through D'Art Perfect (http://www.d-art-perfect.com/#!product/prd1/1837100545/uc15)
32	1	U4	IC, Volt Level Translator, 14TSSOP	TI	TXB0104PWR	296-21929-1-ND	$1.69	$1.69	
33	1	X1	Connector, SMA Jack, R/A, 50ohm TH	Emerson	142-0701-301	J501-ND	$7.76	$7.76	
34	1	X2	Crystal, 8MHz, 18pF SMD	Abracon	ABM3-8.000MHZ-D2Y-T	535-10630-1-ND	$1.09	$1.09	
35	1	X3	Connector, Smart Card (SIM), Hinged, 6-pin SMD	C&K	C707 10M006 5002	361-1020-1-ND	$1.03	$1.03	
							SUM	$120.31	Total cost with cell module
							SUM-CELL	$55.31	Total cost without cell module
